entity	taxon_common_name
Q17288837	hypnum moss
Q17289773	hypnum moss
Q17363776	Huon pine
Q24692274	hypnum moss
Q24692276	hypnum moss
Q24692277	hypnum moss
Q131757	B
Q134051	African mahogany
Q146136	Alder Buckthorn
Q146260	African mahogany
Q146260	Afzelia
Q146487	Beautiful Woodpecker
Q146687	African nocturnal snakes
Q147507	bindweed
Q149021	Amberwings
Q149312	Bindweed
Q149471	balsam poplar
Q150010	Australian water-lily
Q150572	alpinia
Q150835	Band-winged Dragonlet
Q150891	Aztec Glider
Q155802	Bellflowers
Q155931	amaranth family
Q155949	barberry family
Q156853	asarabacca
Q156865	Agrimony
Q157924	beaked sedge
Q158286	anemone
Q158968	alliaria
Q159291	Bee orchid
Q159453	Annual Sea-blite
Q159845	alpine pondweed
Q159847	alpine woundwort
Q160042	African buffalo
Q160042	African Buffalo
Q160241	{{nowrap
Q162298	Autumnal Water-starwort
Q162477	alpine lady's mantle
Q164107	Beaked Tasselweed
Q164138	American licorice
Q164835	annual phlox
Q165615	antitrichia moss
Q1042895	Alexander
Q1194599	Adam's needle
Q10267398	Bee orchid
Q15783641	antitrichia moss
Q145123	Desert oak
Q146037	Cypress family
Q146935	Deodar cedar
Q146935	Deodar Cedar
Q147295	cyclamen
Q148108	cypselea
Q148341	Dark Bossé
Q148961	dropwort
Q149321	Eastern Cape Cycad
Q149321	Eastern Cape giant cycad
Q149321	Eastern Cape Giant Cycad
Q149344	cyclamen
Q156275	Daylily
Q157175	dwarf nettle
Q157522	Eastern Juniper
Q157522	eastern redcedar
Q157522	Eastern Redcedar
Q158338	devil in the bush
Q158338	Devil-in-the-bush
Q158642	dogwood
Q159034	Dusty Miller
Q159034	dusty-miller
Q159171	dogmustard
Q159171	dogmustards
Q159476	daphne willow
Q159545	dogwood
Q159545	Dogwoods
Q160019	dwarf Russian almond
Q161283	dwarf nasturtium
Q163060	Didier's tulip
Q164107	Ditch-grass
Q164107	Ditchgrass
Q3724994	Cycad
Q3725001	Cycad
Q3725011	Cycad
Q5197914	Cycad
Q5197922	Cycad
Q5197924	Cycad
Q5197925	Cycad
Q5197927	Cycad
Q5197929	Cycad
Q5402504	Cycad
Q5434460	Cycad
Q5458270	Cycad
Q5458274	Cycad
Q5458282	Cycad
Q5458286	Cycad
Q5458290	Cycad
Q5458293	Cycad
Q5458296	Cycad
Q5467603	Cycad
Q5467612	Cycad
